Date,SpeciesID,Treatment_temp,Treatment_water,red_class,green_class,blue_class,red,green,blue,col_hex,col_freq,col_total,col_share
2021-10-07,PIPO10,Ambient+HW,Drought,1-32,33-64,1-32,28,58,9,#1c3a09,6024,1394784,0.4
2021-10-07,PIPO10,Ambient+HW,Drought,161-192,161-192,97-128,173,173,120,#adad78,5072,1394784,0.4
2021-10-07,PIPO10,Ambient+HW,Drought,65-96,33-64,1-32,76,54,23,#4c3617,5811,1394784,0.4
2021-10-07,PIPO10,Ambient+HW,Drought,97-128,65-96,65-96,108,91,74,#6c5b4a,6126,1394784,0.4
2021-10-07,PIPO14,Ambient,Drought,1-32,33-64,1-32,29,56,18,#1d3812,4655,1236586,0.4
2021-10-07,PIPO14,Ambient,Drought,193-224,193-224,161-192,209,205,175,#d1cdaf,4342,1236586,0.4
2021-10-07,PIPO14,Ambient,Drought,97-128,65-96,65-96,108,90,74,#6c5a4a,5408,1236586,0.4
2021-10-07,PIPO29,Ambient+HW,Drought,161-192,129-160,97-128,172,150,112,#ac9670,4976,1197341,0.4
2021-10-07,PIPO29,Ambient+HW,Drought,97-128,65-96,33-64,109,87,48,#6d5730,5210,1197341,0.4
2021-10-07,PIPO39,Ambient,Drought,129-160,161-192,129-160,154,169,139,#9aa98b,4068,993086,0.4
2021-10-07,PIPO39,Ambient,Drought,193-224,161-192,129-160,202,178,146,#cab292,3526,993086,0.4
2021-10-07,PIPO44,Ambient,Drought,129-160,129-160,65-96,144,138,88,#908a58,4375,1111401,0.4
2021-10-07,PIPO44,Ambient,Drought,129-160,97-128,97-128,139,123,106,#8b7b6a,3940,1111401,0.4
2021-10-07,PIPO45,Ambient,Drought,129-160,97-128,97-128,139,123,106,#8b7b6a,4609,1154285,0.4
2021-10-07,PIPO45,Ambient,Drought,161-192,193-224,129-160,182,200,146,#b6c892,4971,1154285,0.4
2021-10-07,PIPO45,Ambient,Drought,97-128,65-96,65-96,108,91,74,#6c5b4a,4284,1154285,0.4
2021-10-07,PIPO49,Ambient,Drought,65-96,33-64,1-32,77,53,21,#4d3515,3252,852652,0.4
2021-10-07,PIPO10,Ambient+HW,Drought,161-192,129-160,97-128,171,149,114,#ab9572,4268,1394784,0.3
2021-10-07,PIPO10,Ambient+HW,Drought,161-192,193-224,129-160,179,202,146,#b3ca92,4736,1394784,0.3
2021-10-07,PIPO10,Ambient+HW,Drought,65-96,33-64,33-64,75,59,42,#4b3b2a,4777,1394784,0.3
2021-10-07,PIPO14,Ambient,Drought,65-96,33-64,33-64,77,58,42,#4d3a2a,4040,1236586,0.3
2021-10-07,PIPO23,Ambient+HW,Drought,97-128,65-96,65-96,108,91,74,#6c5b4a,4787,1906687,0.3
